
#### 노템(장비0·슬롯0) (챕터 5) — 1200판 · 클리어율 9.17% · 한 판 평균 획득 5.98장
| 특전 | 등급 | 픽률(판 대비) | 그 특전을 뽑은 판의 클리어율 |
| 귀족의 눈 `p_nobleEye` | 전설 | 2.3% | 3.6% |
| 회피 시 화살 `p_arrowEv` | 일반 | 2.3% | 0.0% |
| 반격 강화 II `p_ctDmgR` | 희귀 | 2.3% | 0.0% |
| 처치 시 번개 `p_killBoltN` | 일반 | 2.3% | 0.0% |
| 회피 시 창 `p_spearEvL` | 전설 | 2.3% | 7.1% |
| 치명타 피해 증가 II `p_critFR` | 희귀 | 2.3% | 0.0% |
| 치명 시 창 `p_critSpearL` | 전설 | 2.3% | 3.7% |
| 회피 시 수리 II `p_evRepairL` | 전설 | 2.3% | 0.0% |
| 치명타 피해 증가 `p_critF` | 일반 | 2.3% | 0.0% |
| 3타 도끼 III `p_nAxeL` | 전설 | 2.2% | 0.0% |
| 회피 시 회복 II `p_evHealR` | 희귀 | 2.1% | 0.0% |
| 치명타 확률 증가 II `p_critRR` | 희귀 | 2.1% | 0.0% |
| 3타 번개 II `p_nBoltR` | 희귀 | 2.1% | 0.0% |
| 처치 시 창 `p_killSpearN` | 일반 | 2.0% | 0.0% |
| 관통 베기 II `p_cleaveR` | 희귀 | 2.0% | 0.0% |
| 회피 시 수리 `p_evRepairR` | 희귀 | 1.9% | 4.3% |
| 방어력 증가 `p_def` | 일반 | 1.8% | 0.0% |
| 치명 시 창 `p_critSpearR` | 희귀 | 1.8% | 0.0% |
| 치명타 확률 증가 `p_critR` | 일반 | 1.8% | 0.0% |
| 회피 시 화살 II `p_arrowEvR` | 희귀 | 1.7% | 5.0% |
| 처치 시 화살 `p_killArrowN` | 일반 | 1.7% | 0.0% |
| 수집가·치명 `p_collCrit` | 일반 | 1.5% | 5.6% |
| 처치 시 도끼 `p_killAxeN` | 일반 | 1.5% | 0.0% |
| 피격 시 방어막 II `p_wardHitR` | 희귀 | 1.5% | 0.0% |
| 방어력 증가 II `p_defR` | 희귀 | 1.4% | 0.0% |
| 가시갑옷 `p_thornsN` | 일반 | 1.4% | 0.0% |
| 처치 시 회피 버프 `p_killEvBuff` | 일반 | 1.3% | 0.0% |
| 수집가·공격 `p_collAtk` | 일반 | 1.2% | 0.0% |
| 처치 시 공격력 스택 `p_killAtkStk` | 일반 | 1.0% | 0.0% |
| 처치 시 회복 `p_killHealN` | 일반 | 0.8% | 0.0% |
| 수집가·체력 `p_collHp` | 일반 | 0.8% | 0.0% |
| 처치 시 회피 스택 `p_killEvStk` | 일반 | 0.8% | 0.0% |
| 회피 시 즉사 `p_execEvN` | 일반 | 0.6% | 0.0% |
| 치명 스택 `p_critStack` | 일반 | 0.4% | 0.0% |
| 치명타 시 스턴 `p_stunCritN` | 일반 | 0.3% | 0.0% |
| 회피 시 스턴 `p_evadeStun` | 일반 | 0.3% | 0.0% |
| 처치 시 확정 치명 `p_killSureCrit` | 일반 | 0.3% | 0.0% |
| 공격 시 공속 버프 `p_aspdAtk` | 일반 | 0.3% | 0.0% |
| 2타 화살 `p_nArrowN` | 일반 | 0.3% | 0.0% |
| 3타 도끼 `p_nAxeN` | 일반 | 0.3% | 0.0% |
| 3타 번개 `p_nBoltN` | 일반 | 0.2% | 0.0% |
| 5타 회복 `p_nHealN` | 일반 | 0.2% | 0.0% |
| 피해 무시 `p_ignoreN` | 일반 | 0.1% | 0.0% |
| 반격 강화 `p_ctDmgN` | 일반 | 0.1% | 0.0% |
| 반격 치명 `p_ctCritN` | 일반 | 0.1% | 0.0% |
